"( S) Saksa","Sáksi"
"liikuntalääketiede","faláštallandálkkasdieđa"
"liikuntatavat (pl.)","lihkadanvierut (pl.)"
"liikuntatavat","lihkadanvierut"
"liikuntatieteellinen tiedekunta","faláštallandieđalaš dieđagoddi"
"liikuntatieteen maisteri","faláštallandiehtagiid magisttar"
"liikuntatieteiden kandidaatti","faláštallandiehtagiid kandidáhta"
"liikuntavammainen","-pmá-#lámes doaibmahehttejuv'von (N), lám/is (-es), lámis"
"liikuskella kituliaana, rautsana","rávžžildit"
"liikuskella ryhdikkäänä, uljaana","čoalččuhit"
"liikuskella säärevänä","beavrruhit"
"liikuskella välkkyen","čuvggohallat"
"liikuskella","jođašit, (rauhattomasti erit. sääskien ja helteen takia) bálggadit (jnk. ympärillä) joradit, lihkadit, johtalit"
"liikutella","lihkahallat"
"liikutella, kajota","lihkahallat"
"liikuttaa","lihkahit"
"liikuttaa","njuorradit, lihkahit; (henkisesti) lihkahit guoskkahit, lihkahit"
"liikuttava","=, njuorradeaddji, guoskkaheaddji, lihkaheaddji, dovdduidečuohcci; tuo oli liikuttava kertomus diet lei dovdduidečuohcci muitalus"
"liikuttua","njuorranit, (jstak) njuorranit (+guovdu), njuorrat"
"liikutus (usk.), ekstaasi, hurmos","lihkahus"
"liikutus, myötätunto","njuorraneapmi"
"liima","liibma"
"liima; sperma","dapmi"
"liimaantua","darvánit"
"liimata","(kiinnijhonk) darvvihit, liibmet"
"liimata","liibmet"
"liimautua","liibmašuvvat"
"liimautua, tahmautua, tarttua, jäädä kiinni (jhk)","goađđut"
"liina (pääliina, pöytäliina)","liidni, (verkon) vuoksa"
"liina","liidni"
"liinapää (poro, hevonen)","liidneoaivi"
"liinasolki","risku"
"liinasolki, rintasolki, risku","risku"
"liinata (olla (kahlatessa)","esim. saappaanvarsista) vuoksut gállit, tarpeeksi pitkä(t), (verkosta tms) vuoksut"
"liinata (verkosta, yltää pohjaan asti)","vuoksut"
"liinata, kyetä kahlaamaan tarpeeksi matalassa vedessä tai lumessa","vuovssuhit"
"liinava (ent verkosta)","vuoksái"
"liinava (erit. verkosta)","vuoksái"
"liinava (erit. verkosta)","vuoksul"
"liinava (verkosta)","vuoksá/i (-s), vuoksul (-is); siinä on niin syvä, että verkon pitää olla tarpeeksi liinava diekko lea nu čieŋal, ahte fierbmi galgá doarvái vuoksái"
"liinavuus (verkon)","vuoksa"
"liinavuus, liina (verkon syvyys)","vuoksa"
"liioin","nu olu; dađi eambbo"
"liioitella","herbmet, deatnut, stuorádallat, stuorádallat, stuoridit ášši, veavttastit, stuorástallat, muitalit mun'nájit, liiggástallat"
"liioitella","veavttastit"
"liioitella, rehennellä","deatnut"
"liioittelu","stuorástallan:m, liiggástallan, deatnun:m, stuorádallan:m, stuorástallan, deatnun"
"liipaisin (aseessa)","báhcahat"
"liipaisin","ávnnjaldat ~ ávnnaldat, báhcahat"
"liipaisin, virosin; virike, kimmoke, impulssi; loukku","báhcahat"
"liipata (viikatetta)","liippát"
"liipata","dávžat"
"liippa (viikatteen hiomiseen)","liippá"
"liippa","sadjin:m, =), dávžžan (~ dávžža"
"liirrättää","skirvehit"
"liistiä, listiä (nauriita tms.)","gálˈlet"
"liitää (linnusta)","seivvodit, sattihit, čeassat"
"liitää","seivvodit, sattihit, ceassat"
"liitäntä (tietok.)","lakta"
"liitäntä (tietokoneessa)","lakta"
"liitäntälaki (mat.)","ovttastahttinláhka"
"liite","čuovus"
"liite","čuovus. mielddus; hakemuksen liitteenä ohcamuša čuovusin, čuovus, -uvvo-"
"liiteleima","čuovussteampal"
"liitepartikkeli","laktapartihkal"
"liiteri","muorravisti, liider (S)"
"liitesana","laktasátni"
"liitin","cikcehat"
"liito","sattiheapmi, seivvodeapmi, čeassan:m"
"liito-orava","girdioar'ri"
"liitohaukka","čáhppessoadjahávut"
"liitos","(peräkkäisiä esineitä yhdistävä) goallus, lakta, -ol'lo"
"liitos","lakta"
"liittää","laktit"
"liittää","ovttastahttit; catnat; (jkn nimeen tai henkilöön) namahit (+ill.); (liitteitä) bidjat mielddusin, ovttastahttit; (esineitä peräkkäin) goallostit, laktit, (verkkoja peräkkäin) geatnit"
"liitto","lihttu riikkasearvi, liitossa lihtus, lihttu, servviid"
"liittohallitus","lihttoráđđehus"
"liittokokous","riikačoahkkin"
"liittolainen","lihttolaš, lihttulaš"
"liittoutua","searvvadit; liittoutua jonkun seuraan skihppodit soapmásiin, lihtodaddat, skihppot soapmásiin, (joukoksi) searvat, lihtodit"
"liittoutua, lyöttäytyä (yhteen jkn kanssa)","skihppot"
"liittoutua, sopia (tapaamisesta)","lihtodit"
"liittoutua, yhdistyä (joukoksi)","searvvadit"
"liittovaltio","lihttostáhta, federašuvdna"
"liittovaltuusto","lihttostivra"
"liittyä (esim. yhdistykseen)","searvat"
"liittyä (jkun näkemykseen), yhtyä (jkun mielipiteeseen); liittyä (mukaan, seuraan), mennä (jkun) mukaan","njuohkánit"
"liittyä","guorrasit, laktašuvvat, laktásit, ovttastuvvat; čatnasit čatnašuvvat; (joukkoon, seuraan) searvat"
"liittyä","laktásit"
"liittyä","laktašuvvat"
"liittymä","geaidnolakta"
"liittyminen","guorraseapmi"
"liittymisilmoitus","searvanalmmuhus"
"liittymiskirja","guorrasanáššebábir"
"liittymislupa","searvanlohpi"
"liittymismaksu","searvanmáksu"
"liitu","kriita"
"liitutaulu","čáhppesdávval"
"liivi","liiva ~ liivve, liiva"
"liivi","liiva"
"liivit","veasta"
"liiˈdnâ-gierˈdo: linklave","-gierdu"
"lik","lit"
"lika","duolva, durdi"
"lika, loka","duolva"
"lika, ryönä, tahma; sottapytty","durdi"
"likaaminen","duolvvideapmi, nuoskkideapmi, nuoskkideapmi"
"likaämpäri","ruskaskállu"
"likaantua jauhoihin, jauhottua","jáfˈfohuvvat"
"likaantua","(roskista) luotnut, duolvat, durdut, durdut; (roskista) luotnut"
"likaantua, lokaantua","duolvat"
"likaantuva (esim. vaatekappaleesta)","duolvi (-s), duolvil (-is), duolvalas, duolvadovdi"
"likainen","durd/das (-e-), -rd-#durde, duolvvas, -lv-#duolva, duolv/vas (-a), durddas, durdá/i (-s)"
"likainen, suttuinen, tahmainen","durdái"
"likainen, tahmainen, tahmea","durddas"
"likainen; samea (väriltään), lianvärinen (yl. poron karvoituksen väristä)","duolvvas"
"likakaivo","baikagáivvo"
"likasanko","selegievdni"
"likavesi","duolvacáhci"
"likaviemäri","duolvačáhcebohcci, ="
"likeinen (erit. sukulaisesta)","lagaš:ž"
"likeinen (esim. sukulaisesta)","lagas ~ lagaš"
"likellä","ks. lähellä"
"likellä,","-tä, -le lahka"
"likentää","lagadit"
"liki","lagabui, lahka; (lähes) measta, fargga"
"likiarvo","ottaa likiarvo (jstak) lagadit (+akk.), lahkaárvu"
"likilaskuinen (taikinasta)","jámas"
"likimääräinen","mii lea sull ii árvvoštal'lojuv'von, -sulla"
"likimain","sullii, measta"
"likinäköinen","lahkaoaidnil (-is), lahkaoaidnil# -is"
"likistää (kerran yhteen), purahuttaa (yhteen)","rohččet"
"likistää (kerran), rutistaa (vähän tai nopeasti); nitistää (nopeasti)","cirpmastit"
"likistää (nopeasti), purahuttaa (kokoon, yhteen)","deavččastit"
"likistää","njuvdit, deakčut, (kerran) cirpmastit, cikcet, cárvut"
"likistää, litistää, puristaa (kokoon, yhteen), rusentaa","deakčut"
"likistää, litistää, pusertaa, survoa","njuvdit"
"likistää, nipistää","cikcet"
"likistää, puristaa (yhteen)","rohčut"
"likistää, puristaa; vaivata (rieskataikinaa)","čárvut"
"likistää, survoa","njuvdit"
"likistellä","cirbmut, čárvut cikcut"
"likistellä, nipistellä","cikcut"
"likistellä, puristella (kokoon, yhteen), rusennella","devččodit"
"likistellä, rusennella, nitistellä","cirbmut"
"likistyä (iho, sormi)","deađvasit"
"likistyä (ihosta, sormesta)","deađvašuvvat"
"likistyä (joutua puristuksiin)","čárvasit, cikcasit, deađvašuvvat, deđvot, deakčasit"
"likistyä","(saada puristushaava ihosta sormesta) deađvašuvvat, deđvot, cikcasit, čárvasit"
"likistyä, litistyä, puristua (kokoon, yhteen), rusentua","deakčasit"
"likistyä, nipistyä","cikcasit"
"likomärkä (ja roikkuva, erit. vaatteista)","šnjoalccas"
"likomärkä (nahkaesineestä)","spalc/cas (-a); kastua likomäräksi spalcat, (äkkiä) spalccihit, spalccidit, kastaa likomäräksi spalcadit"
"likomärkä (nahkaesineestä); ärsyttävä, kiusallinen","spalccas"
"likomärkä (nahkavaatteista) (= šnjarvvas)","njirvvas"
"likomärkä (nahkavaatteista)","šnjalččas"
"likomärkä (nahkavaatteista)","šnjarvvas"
"likomärkä (nahkavaatteista)","šnjirvvas), kastella nahkavaate likomäräksi šnjalčadit, liikkua läpimärissä nahkavaatteissa šnjalččahit; (likomärkä myös: šnjalžžas, šnjarvvas, šnjalč/čas (-a); kastua likomäräksi (nahkavaatteesta) šnjalčat, šnjalččagit"
"likomärkä nahkavaate (= šnjarvi)","njirvi"
"likomärkä nahkavaate","šnjarvi"
"likomärkä nahkavaate","šnjirvi"
"likomärkä nahkavaate; ihminen, jolla on likomärät nahkavaatteet yllä","šnjalči"
"likomärkä","-lc-#spalca, čađa njuoskkas, čađa njuoskan, (nahkuesineestä) spalccas, nahkavaate šnjalči ~ šnjalži, šnjarvi ~ šnjirvi, -sk-#njuoska"
"lila","sáhppesalit"
"lilja","lilljá"
"lilja","lilljá, lil'já"
"lilliputti, peukaloinen","loddelanolmmoš"
"lillukka","lávžžámuorji, gieddeluomi, daivemuorji, veaddemuorji"
"lima","njivli"
"lima","njivlla, njivii, šliivi, njivli"
"limainen (kalasta)","njuvˈvui"
"limainen","njivilas, njivl/las (-e-); (kalasta) njuv'v/ui (-os), -vl-#njivle, njivlá/i (-s)"
"limainen, näljäinen, niljakas; lima, näljä","njivlla"
"limainen, niljakas; painostava (pilvisestä ilmasta)","njivllas"
"limainen; veltto","njivlái"
"limakalvo","sliiveassi, -rr-:g, šliiveassi, vuohččecuozza, limakalvon pinta sliiveasi giera"
"limakalvo","vuohččecuozza"
"limakotilo","njivleguiski"
"limittäin","latnjalagaid, latnjalassii, skárul, latnjalaga(id) ~ latnjala"
"limittäin, lomittain","latnjalagaid"
"limittäin; vastakkaisiin suuntiin, ristikkäin; (kuv.) sukupuoliyhteydessä","latnjalassii"
"limittäinen","lantjalas"
"limittäinen, limittyvä","latnjalas"
"limittyä","latnjalastit"
"limoittua","njivlut"
"limoittua; tulla painostavaksi (pilvisestä ilmasta)","njivlut"
"limonadi","bruvsa"
"limonadi","limonáda, bruvsa"
"limppu","láibi, limpu"
"limppu, paakku (jäkälää, jäätynyttä lehmänlantaa)","limpu"
"limsa","bruvsa"
"lineaari","lineára"
"lingota","liŋgalit"
"lingota","liŋggustit"
"lingota","šlivget, liŋgalit, liŋgalit, liŋggastit, šliŋggastit, liŋggustit, šleŋget"
"lingvisti","lingvista"
"lingvistiikka","gielladieđa, lingvistihkka"
"lingvistiikka","lingvistihkka"
"lingvistinen","gielladieđalaš, lingvistihkalaš"
"linja","-njj-; (auto- tmg) lin'njá ~ lin'já, -njj-, lin'njá ~ lin'já, linnjá, ruvtta ~ ruvtte ~ ruvtto"
"linja","linˈnjá"
"linja, reitti","ruvtto"
"linja-auto","ruvtta- ~ ruvtte- ~ ruvttobiila, linnjábiila, ruvttobiila, bus'se, lin'nja- ~ lin'ja- ~ lin'jebiila"
"linja-autoasema","bus'seterminála"
"linja-autokaista","lin'jabiilagurggástat"
"linja-autonkuljettaja","bus'sevuoddji"
"linjata","linnjet"
"linkata (jalasta)","boalččihit"
"linkata","(kerran) čiŋkkádit, ciŋkut"
"linkittää","liŋket"
"linkkajalka","čiŋkkon"
"linkki","liŋka"
"linkkuveitsi","liŋkoniibi"
"linkkuveitsi","mahcastanniibi, lađasniibi, liŋkoniibi, máhcastanniibi, lađasniibi"
"linklave (line med ca. 200 angler)","liidna-gierdu"
"linko (heittoväline)","šliŋgu, šleaŋgu; (pyöräytettävä) fađ'đu, liŋgu"
"linko","vađˈđu"
"linko","šleaŋgu"
"linko","šliŋgu"
"linko","šliŋgu, šleaŋgu, liŋgu"
"linkuttaa","čiŋkkuhit"
"linkuttaa, nilkuttaa","boalččuhit"
"linna (kuninkaan)","šloahtta"
"linna (vankila)","fáŋgal, ladni"
"linna","šloahtta, šloahtta, ladni, =, ladni"
"linna, linnoitus; vankila","ladni"
"linna, palatsi","šloahtta"
"linnoitus","=, ladni"
"linnunkaali","lottegálla"
"linnunmaito","cizášmielki"
"linnunpelätin","loddegavdnja"
"linnunpesä","lottibeassi, lottebeassi"
"linnunpoika","lottečivga"
"linnunpönttö","loddevuovda, vuovda"
"linnunpönttö, uuttu, uu","vuovda"
"linnunrata","lodderáidalas ~ -ráidaras, lodderáidalas"
"linnunratajärjestelmä, galaksi","galáksa"
"linnunsilmä","lottečalbmi"
"linnuntietä","áimmu mielde, njuolggamusat jođedettiin; tästä on sinne peninkulma linnuntietä dás lea dohko miila njuolggamusat jođedettiin"
"linnustaa","loddet, lottiid bivdit, lottástit"
"linnustaa","lottástit"
"linnustaa, metsästää lintuja","loddet"
"linnustonsuojelualue","lottiidsuodjalanguovlu, "
"linnustus","lodden, loddebivdu"
"linssi","linsa"
"linssi, mykiö","linsa"
"lintata, lipsua (saksista)","cákcut"
"linttakenkä","gomugáma"
"lintu","loddi; lintuisa loddá/i (-s), loddi, metsästää lintuja loddet, siellä on paljon lintuja diet lea loddás guovlu, loktástit"
"lintu; lentävä hyönteinen","loddi"
"lintukoto (lintujen talvehtimisseutu)","bárbmu"
"lintukoto","bárbmu"
"lintukoto, (lintujen) talvehtimisseutu; onnela","bárbmu"
"lintukotolainen, lilliputti, kääpiö (saduissa)","lottežanolmmoš"
"lintulauta","loddelávdi"
"lintunen","lottáš, lottáž:ž"
"lintuparvi","loddemoahti"
"lintutiede","ornitologiija, loddedieđa"
"liota (juurisäikeet)","dávgut"
"liota (karvattomaksi, taljasta)","navválit, navvánit"
"liota karvattomaksi, nivottua","navválit"
"liota","(katvoista) navválit, luvvat"
"liota, liueta","luvvat"
"liotettu","luvas"
"liottaa (juurisäikeitä)","dávgudit"
"liottaa (lihaa, kalaa tms. suolan vähentämiseksi)","sáivadit"
"liottaa","luvvadit (karvoja pois) navildit, luvvadit; liottaa lihasta tai kalasta liiallinen suola sáivadit"
"liottaa","luvvadit"
"lipakka (josta on vaikea saada otetta)","njalp/pas (-e-), njalppagit, njoahppil (-is); tulla lipakaksi njoalppagit, njoalp/pas (-e-), tuota lipakkaa kiveä on hankala nostaa dien njoalpegeađggi lea váttis loktet"
"lipakka, lipsakka, suippo, josta ei saa otetta","njoalppas"
"lipakko, lipsakko esine, josta on vaikea saada pitävää otetta","njoalpi"
"lipas","(pieni) skáhppu, bumbá, bumbá; (pieni) skáhppu"
"lipas","skriidna"
"lipasto (vuollegis)","skuf'faskáhppe"
"lipasto","skuf'faskáhppe"
"lipeäkala","lovttaguolli ~ luvttaguolli"
"lipevä, liukas, niljakas (esineestä, josta on vaikea saada otetta)","njoahppat"
"lipevä, liukas, niljakas (esineestä, josta on vaikea saada otetta)","njoahppil"
"lipeväkielinen ihminen, makeilija, mielistelijä, teeskentelijä","suorrenjuovčča"
"lipeväkielinen","ihminen suorrenjuovčča"
"liplatella","stužaidit"
"liplattaa","stužaidit, stuhčat"
"liplattaa, loiskia","stuhčat"
"liplatus","stuhča"
"liplatus, loiske","stuhča"
"lippa (lakissa)","snuiba, gaiba, kinoksessa tms.) goapma, (kalliossa töyräässä"
"lippa","gaiba"
"lippa","gaiba, snuiba; varustaa lipalla gaibadit"
"lippa; lippalakki","snuiba"
"lippalakki","snuibagahpir, gaibagahpir, snuibagahpir, snuiba"
"lippu (maan, valtion)","lihppo (S), leavga, flávda, flágga, lávda"
"lippu (matkalippu, pääsylippu)","lihppo (S), bileahtta"
"lippu","flágga"
"lippu","flávda ~ lávda; (matka lippu) bileahtta; (pala) lihppo, leavga"
"lippu","lávda"
"lippu","leavga"
"lippuautomaatti","bileahttaautomáhtta"
"lippusalko","leavgastággu"
"lipputanko","leavgastággu"
"lipsahdella, lipsua (esim. kädestä piirtäessä)","skiivut"
"lipsahtaa (kädestä, otteesta vyöstä tms. myös pideltävästä esineestä)","njalppehit ~ njoalppehit"
"lipsahtaa (kädestä, otteesta)","njoalppehit ~ njalppehit"
"lipsahtaa (kirveestä, puukosta; esteen vuoksi)","navdasit"
"lipsahtaa","mulččihit"
"lipsahtaa, luiskahtaa (kädestä, otteesta jne.)","njoalppehit"
"lipsahtaa, luiskahtaa","heairrehit"
"lipsahtaa, luiskahtaa","vealčasit"
"lipsauttaa","njalpalit"
"lipsua (kengistä), liukastella (ohuen lumen alla olevalla jäällä)","njuohppat"
"lipsua","njalkkastallat, njoalpat ~ njalpat; olla kulkiessa lipsumatta coakcut, njaláhastalit, olla lipsumatta coakcut"
"lipsumaton","coakcul"
"lipsuvakätinen ihminen; tutiseva, vapiseva ihminen","vealči"
"lipsuvakätinen; tutiseva, vapiseva","vealččas"
"lipua (laineilla)","siigat ~ siiget"
"lipua (sattumalta jhk)","nuorbasit"
"lipua (virran mukana)","suohčat; panna lipumaan suožahit"
"lipua","deaššat"
"lipua","nuorbat"
"lipua","siigat"
"lipua","siiget"
"lipua, soljua; luisua (rinnettä alas)","suohčat"
"lipuke, (paperi)lappu","lihppu"
"lipukka (viehe)","libás"
"lipunkantaja","leavgaguoddi"
"liputtaa","levget, leavgga rohttet, leavgga atnit ~ doallat, leavgga doallat"
"liputus","leavgaatnin:m, leavdadoallan:m"
"lirahtaa","šnjoarggihit ~ šnjoarggehit"
"lirahtaa","šnjoarggihit"
"lirauttaa","njor'ret, leikestit, njor'restit"
"lirinä","šnjoarra"
"liristä","njoargut, njoarrat, (tippuvasta vedestä njuorgut, šnjoarrat, šnjoaraidit, šnjoargut, njuorgut"
"liristä","šnjoaraidit"
"liristä","šnjoargut"
"liristä","šnjoarrat"
"liristä, norua","njireštit"
"liristen (adv.)","šnjorrosii; vuotaa liristen šnjorrosii golgat"
"liristen","šnjorrosii"
"liro","-ovžo-, ruonájuolčoavžžu, Ruonájuolčoavžžu, ruonájuolčoavžžu, uhcačovžoš:ž"
"liruttaa","šnjoargguhit"
"lisä","lassi"
"lisä","liige-, lasáhus; lisä- lasse-, ala, lisäksi lassin badjelii, lisäksi lassin, lisä- liige-, lasáhus, lisää lasi, lassi"
"lisää","lasi, tulla lisää lassánit"
"lisäaine","lasseávnnas, lassiávnnas, -vdn-"
"lisääminen","lasiheapmi"
"lisääntyä (kovasti)","laskat; saada lisääntymään kovasti laskadit"
"lisääntyä (kovasti), runsastua, yleistyä (kohtuuttomasti); edetä (aineessa)","laskat"
"lisääntyä","(kovasti) laskat, lassut (R), lassánit, (poroista) ahtanuššat, eatnánit"
"lisääntyä, tulla lisää, yleistyä","lassánit"
"lisääntyminen","lassáneapmi"
"lisääntymiskykyinen, hedelmällinen, jolla on paljon jälkeläisiä","nálˈlái"
"lisääntymisoikeudet","lassánanvuoigatvuođat"
"lisäarvovero","lasseárvovearru, lassiárvovearru"
"lisäbudjetti","lassibušeahtta, lassebušeahtta, liigebušeahtta, liigebušeahtta"
"lisäeläke","lasseealáhat, lassiealáhat"
"lisäillä","lasáhallat"
"lisäke","liigi"
"lisäkivekset (anat.)","bál'lorávssát"
"lisämaa","lasseeana"
"lisämaksu","lassemáksu, lassimáksu"
"lisämuisti","lassimuitu"
"lisämunuainen","lassemanimuš ~ lassemonimuš"
"lisänimi","buttosnamma, buddostatnamma, buddosnamma"
"lisäosa","lassioassi, lasseoassi"
"lisäosatulo","lassioasseboahtu"
"lisäsana (korvamerkissä)","rievdadus, erohus"
"lisäselitys","lassečilgehus"
"lisäselvitys","lassečielggadus, lassičilgehus"
"lisätä","(kuormaa taakkaa) losidit, lasihit, eanedit, lasidit (R), (R) lasidit"
"lisätä","lasihit"
"lisätalousarvio","lassibušeahttaárvalus"
"lisätieto","lassediehtu, lassidiehtu"
"lisätoimenpide","lassidoaibmabidju"
"lisättävä","lasihahtti"
"lisätutkimus","lassidutkamuš, lassedutkamuš"
"lisävero","lassevearru"
"lisäys (vars. korvamerkissä)","rievdadus"
"lisäys","lasáhus; lasiheapmi; lassáneapmi, lasiheapmi, lasáhus"
"lisäys, lisä","lasáhus"
"lisensiaatin tutkinto","lisensiáhtadutkkus"
"lisensiaatintutkimus","lisensiáhtadutkamuš"
"lisensiaatti","lisensiáhtta ~ lisensiáhta, lisensiáhta, ="
"lisenssi","liseansa"
"lisenssiaatti","lisensiáhta"
"lisenssimaksu","liseansamáksu"
"lisenssisopimus",", liseansasoahpamuš"
"lisko","-ggá-:Ø, lakkis"
"lista","listá (S), (erit. vaalilista) listá (S), listu, listu ~ lista"
"lista, luettelo","lista"
"lisuke","bajálaš, lasáš:ž"
"litistää","stežžet, stenžet, njuvdit, deakčut"
"litistyä (mennä lyttyyn)","steanžžagit, steaččagit"
"litistyä","deahpánit"
"litistyä","steaččagit, steanžžagit"
"litistyä","steažžasit"
"litistyä, tulla latuskaiseksi, lituskaiseksi, litteäksi","steanžžagit"
"litistyä; soveltua puristettavaksi, survottavaksi, levitettäväksi","njuvdásit"
"litkiä","šlaggat litra lihtter ~ littar lihttar"
"litkiä, kulautella","šlaggat"
"litkiä, kulautella","šlaggat; (nopeasti) šlaggalit"
"litra","lihtter"
"litteä","steaccas, olla maata litteänä deaskát, -ni-#steanže- ~ -steanži, steanžžas, steanž/žas (-e-), stea/ččas (-žža); maata litteänä steanžát, steanžát, -žž-#steažža, tulla litteäksi steanžžagit, deaškát"
